ticker,time,close,open,high,low,volume
VDS,13/12/2022,7.9,7.65,7.9,7.6,200300.0
VDS,12/12/2022,7.62,8.57,8.57,7.6,468100.0
VDS,09/12/2022,8.13,8.34,8.35,8.0,243900.0
VDS,08/12/2022,8.34,8.3,8.63,8.1,450200.0
VDS,07/12/2022,8.07,8.02,8.5,8.0,305600.0
VDS,06/12/2022,8.47,8.61,9.3,8.47,689900.0
VDS,05/12/2022,9.1,9.4,9.4,9.0,441600.0
VDS,02/12/2022,8.96,8.39,8.96,8.0,671900.0
VDS,01/12/2022,8.39,8.89,8.89,8.1,552200.0
VDS,30/11/2022,8.39,8.1,8.39,8.0,413700.0
VDS,29/11/2022,8.02,7.85,8.3,7.8,588100.0
VDS,28/11/2022,7.81,7.4,7.81,7.4,397200.0
VDS,25/11/2022,7.3,7.0,7.35,7.0,482900.0
VDS,24/11/2022,6.95,6.96,7.06,6.91,334400.0
VDS,23/11/2022,7.0,6.91,7.18,6.91,260400.0
VDS,22/11/2022,7.07,7.04,7.5,7.0,485900.0
VDS,21/11/2022,7.17,7.32,7.32,7.0,375900.0
VDS,18/11/2022,7.3,7.25,7.5,7.17,678200.0
VDS,17/11/2022,7.7,7.95,7.95,7.4,65400.0
VDS,16/11/2022,7.43,7.0,7.59,6.61,229600.0
VDS,15/11/2022,7.1,7.15,7.2,7.0,792500.0
VDS,14/11/2022,7.2,7.2,7.23,7.07,232200.0
VDS,11/11/2022,7.2,7.11,7.3,7.1,153400.0
VDS,10/11/2022,7.1,7.27,7.3,6.71,522000.0
VDS,09/11/2022,7.2,7.25,7.42,7.2,30200.0
VDS,08/11/2022,7.2,7.24,7.4,7.2,33300.0
VDS,07/11/2022,7.3,7.23,7.78,7.23,301200.0
VDS,04/11/2022,7.77,8.05,8.05,7.49,258900.0
VDS,03/11/2022,8.05,8.1,8.14,8.05,110000.0
VDS,02/11/2022,8.15,8.35,8.39,8.12,30400.0
VDS,01/11/2022,8.3,8.39,8.4,8.1,263600.0
VDS,31/10/2022,8.3,8.57,8.57,7.99,100000.0
VDS,28/10/2022,8.57,8.5,8.7,8.5,37400.0
VDS,27/10/2022,8.5,8.08,8.5,8.08,141500.0
VDS,26/10/2022,8.08,7.9,8.3,7.7,44800.0
VDS,25/10/2022,8.1,7.72,8.3,7.7,116400.0
VDS,24/10/2022,8.1,8.45,8.45,8.0,574400.0
VDS,21/10/2022,8.35,8.95,8.95,8.33,369400.0
VDS,20/10/2022,8.95,9.1,9.1,8.8,60200.0
VDS,19/10/2022,9.1,9.16,9.2,8.99,72900.0
