ticker,time,close,open,high,low,volume
VFG,13/12/2022,35.0,35.9,35.9,35.0,1400.0
VFG,12/12/2022,36.4,35.9,36.4,34.0,1900.0
VFG,09/12/2022,35.9,35.9,36.0,35.8,2100.0
VFG,08/12/2022,36.1,34.4,36.1,34.4,500.0
VFG,07/12/2022,36.45,35.0,36.45,34.65,2200.0
VFG,06/12/2022,36.0,36.5,36.5,35.4,3000.0
VFG,05/12/2022,37.3,37.65,37.65,36.9,2700.0
VFG,02/12/2022,37.7,35.85,37.7,35.85,3300.0
VFG,01/12/2022,38.2,37.5,38.2,35.6,1500.0
VFG,30/11/2022,37.9,36.65,37.9,36.65,6200.0
VFG,29/11/2022,39.4,35.45,39.4,35.35,8200.0
VFG,28/11/2022,38.0,39.25,39.25,34.25,10900.0
VFG,25/11/2022,36.8,41.95,41.95,36.75,1500.0
VFG,24/11/2022,39.5,35.05,39.5,34.6,8400.0
VFG,23/11/2022,37.2,42.65,42.65,37.2,700.0
VFG,22/11/2022,40.0,35.35,40.0,35.2,5300.0
VFG,21/11/2022,37.75,36.0,37.75,35.75,5900.0
VFG,18/11/2022,38.4,38.8,38.8,35.45,2600.0
VFG,17/11/2022,38.1,36.25,38.1,35.85,3100.0
VFG,16/11/2022,38.5,40.85,40.85,35.85,2200.0
VFG,15/11/2022,38.5,36.3,41.35,36.3,1600.0
VFG,14/11/2022,39.0,36.4,39.0,36.35,1600.0
VFG,11/11/2022,39.05,41.0,43.0,39.05,900.0
VFG,10/11/2022,41.95,43.65,43.65,41.95,600.0
VFG,09/11/2022,42.05,42.05,42.05,42.05,0.0
VFG,08/11/2022,42.05,40.45,42.05,40.45,300.0
VFG,07/11/2022,43.45,43.45,43.45,43.45,0.0
VFG,04/11/2022,43.45,43.45,43.45,43.45,100.0
VFG,03/11/2022,42.0,43.75,43.75,38.15,3500.0
VFG,02/11/2022,40.95,38.9,40.95,38.8,900.0
VFG,01/11/2022,41.7,42.8,44.75,41.7,3200.0
VFG,31/10/2022,44.75,44.75,44.75,44.75,100.0
VFG,28/10/2022,42.0,47.95,47.95,42.0,2300.0
VFG,27/10/2022,44.95,45.35,45.35,39.5,4300.0
VFG,26/10/2022,42.45,42.0,42.45,42.0,11500.0
VFG,25/10/2022,42.45,37.2,42.45,37.2,6400.0
VFG,24/10/2022,40.0,40.0,40.0,40.0,0.0
VFG,21/10/2022,40.0,39.4,40.0,39.0,7900.0
VFG,20/10/2022,39.3,37.15,39.3,37.15,800.0
VFG,19/10/2022,39.9,39.9,39.9,39.9,0.0
