ticker,time,close,open,high,low,volume
VHC,13/12/2022,71.0,71.5,72.0,70.7,396000.0
VHC,12/12/2022,71.6,70.0,74.1,69.6,631400.0
VHC,09/12/2022,70.0,67.5,70.0,67.5,568900.0
VHC,08/12/2022,69.7,72.0,72.2,67.9,1321800.0
VHC,07/12/2022,72.0,72.7,73.1,71.0,615700.0
VHC,06/12/2022,72.2,67.0,72.2,65.2,1739900.0
VHC,05/12/2022,67.5,68.1,69.0,66.0,450700.0
VHC,02/12/2022,67.5,65.0,67.5,64.0,468500.0
VHC,01/12/2022,65.7,68.0,69.2,65.5,712200.0
VHC,30/11/2022,68.0,64.9,68.0,64.5,531600.0
VHC,29/11/2022,64.8,62.6,65.2,62.6,424600.0
VHC,28/11/2022,62.5,60.7,63.4,58.9,523200.0
VHC,25/11/2022,59.8,64.3,64.3,59.8,599600.0
VHC,24/11/2022,64.3,66.0,66.1,61.5,868200.0
VHC,23/11/2022,66.1,66.6,66.7,65.0,348500.0
VHC,22/11/2022,66.6,65.7,68.6,65.1,664100.0
VHC,21/11/2022,66.6,68.5,68.5,66.2,317700.0
VHC,18/11/2022,67.9,70.3,70.3,67.7,549800.0
VHC,17/11/2022,71.0,72.0,72.8,68.0,712800.0
VHC,16/11/2022,72.0,70.2,73.5,69.7,635600.0
VHC,15/11/2022,74.9,73.5,74.9,69.3,900100.0
VHC,14/11/2022,74.5,75.0,75.0,72.1,338000.0
VHC,11/11/2022,75.5,75.0,76.5,73.0,512600.0
VHC,10/11/2022,74.9,74.9,75.2,69.7,603900.0
VHC,09/11/2022,74.9,75.0,75.5,73.9,324900.0
VHC,08/11/2022,74.9,72.8,74.9,70.6,283600.0
VHC,07/11/2022,73.5,71.9,74.3,68.5,510400.0
VHC,04/11/2022,72.5,72.4,72.5,69.0,276800.0
VHC,03/11/2022,72.5,70.5,72.5,69.9,223000.0
VHC,02/11/2022,71.3,70.6,73.3,70.6,122600.0
VHC,01/11/2022,72.8,73.0,75.0,72.4,269700.0
VHC,31/10/2022,73.0,72.2,73.0,67.5,340500.0
VHC,28/10/2022,71.9,72.1,73.5,70.8,242900.0
VHC,27/10/2022,72.0,69.6,72.2,69.0,207600.0
VHC,26/10/2022,69.6,67.0,69.9,67.0,370900.0
VHC,25/10/2022,67.0,63.8,69.0,63.0,527900.0
VHC,24/10/2022,65.0,69.8,69.9,65.0,581800.0
VHC,21/10/2022,69.8,75.0,75.0,69.8,797700.0
VHC,20/10/2022,75.0,74.6,77.8,74.6,328900.0
VHC,19/10/2022,77.0,76.8,78.3,76.7,443900.0
