ticker,time,close,open,high,low,volume
VID,13/12/2022,6.48,6.49,6.49,6.41,2200.0
VID,12/12/2022,6.46,6.59,6.59,6.02,20500.0
VID,09/12/2022,6.47,6.48,6.48,6.47,1200.0
VID,08/12/2022,6.48,6.6,6.6,6.35,23700.0
VID,07/12/2022,6.6,6.24,6.6,6.24,2000.0
VID,06/12/2022,6.68,6.65,6.7,6.35,24900.0
VID,05/12/2022,6.7,6.7,6.7,6.32,47900.0
VID,02/12/2022,6.7,6.4,6.7,6.3,11800.0
VID,01/12/2022,6.5,6.2,6.63,6.11,54100.0
VID,30/11/2022,6.2,6.35,6.35,6.0,16200.0
VID,29/11/2022,6.19,6.23,6.23,5.87,16500.0
VID,28/11/2022,6.09,6.13,6.13,6.0,33000.0
VID,25/11/2022,6.0,6.09,6.09,6.0,1100.0
VID,24/11/2022,5.95,6.0,6.0,5.95,10300.0
VID,23/11/2022,5.95,6.4,6.4,5.93,22700.0
VID,22/11/2022,6.37,5.68,6.4,5.68,1900.0
VID,21/11/2022,6.08,5.99,6.08,5.99,10100.0
VID,18/11/2022,5.71,5.7,5.71,5.7,1400.0
VID,17/11/2022,6.0,5.98,6.0,5.9,75000.0
VID,16/11/2022,5.7,5.38,5.7,5.38,123000.0
VID,15/11/2022,5.78,6.12,6.12,5.71,48000.0
VID,14/11/2022,6.13,6.2,6.6,6.13,83900.0
VID,11/11/2022,6.59,6.6,6.6,6.14,18800.0
VID,10/11/2022,6.6,6.5,6.69,6.32,18800.0
VID,09/11/2022,6.79,6.55,6.79,6.55,10600.0
VID,08/11/2022,6.51,6.84,6.84,6.51,10500.0
VID,07/11/2022,6.87,6.9,6.9,6.43,1000.0
VID,04/11/2022,6.9,6.9,6.9,6.9,200.0
VID,03/11/2022,6.84,6.88,6.89,6.5,12600.0
VID,02/11/2022,6.88,6.89,6.89,6.52,2800.0
VID,01/11/2022,6.89,6.89,6.99,6.7,59300.0
VID,31/10/2022,6.88,6.89,6.89,6.8,35500.0
VID,28/10/2022,6.8,6.69,6.8,6.69,64100.0
VID,27/10/2022,6.69,6.6,6.86,6.5,40400.0
VID,26/10/2022,6.5,6.5,6.68,6.4,25100.0
VID,25/10/2022,6.25,6.68,6.9,6.25,44500.0
VID,24/10/2022,6.68,6.9,6.9,6.43,5200.0
VID,21/10/2022,6.9,6.98,6.98,6.7,2300.0
VID,20/10/2022,6.95,6.95,6.98,6.71,2200.0
VID,19/10/2022,6.95,6.99,6.99,6.8,3900.0
