ticker,time,close,open,high,low,volume
VIX,13/12/2022,8.43,7.92,8.43,7.69,15955700.0
VIX,12/12/2022,7.89,8.6,8.88,7.89,21521500.0
VIX,09/12/2022,8.46,8.38,8.47,8.1,23665600.0
VIX,08/12/2022,7.98,7.66,7.98,7.64,18948700.0
VIX,07/12/2022,7.46,7.97,7.99,7.46,20636300.0
VIX,06/12/2022,8.02,8.46,8.62,8.02,24702700.0
VIX,05/12/2022,8.62,8.9,8.94,8.51,21778500.0
VIX,02/12/2022,8.55,7.85,8.55,7.67,19022500.0
VIX,01/12/2022,8.0,8.05,8.41,7.83,24992800.0
VIX,30/11/2022,7.86,7.76,8.03,7.5,15304300.0
VIX,29/11/2022,7.74,7.6,8.09,7.28,18053400.0
VIX,28/11/2022,7.6,7.5,7.76,7.01,34946500.0
VIX,25/11/2022,7.37,7.27,7.37,7.05,13102900.0
VIX,24/11/2022,6.89,6.38,6.89,6.25,10819900.0
VIX,23/11/2022,6.44,6.74,6.97,6.44,9753200.0
VIX,22/11/2022,6.85,6.7,7.27,6.59,18308600.0
VIX,21/11/2022,6.8,6.65,6.87,6.43,13185800.0
VIX,18/11/2022,6.47,6.1,6.47,5.71,19700600.0
VIX,17/11/2022,6.05,5.87,6.05,5.86,6042300.0
VIX,16/11/2022,5.66,4.92,5.66,4.92,15305400.0
VIX,15/11/2022,5.29,5.32,5.49,5.29,7867300.0
VIX,14/11/2022,5.68,5.9,5.93,5.68,13073600.0
VIX,11/11/2022,6.1,6.61,6.78,6.1,10411700.0
VIX,10/11/2022,6.51,6.8,6.92,6.51,5490700.0
VIX,09/11/2022,7.0,7.1,7.27,6.88,6035000.0
VIX,08/11/2022,6.96,6.3,6.96,6.25,7369700.0
VIX,07/11/2022,6.53,7.03,7.15,6.53,10233000.0
VIX,04/11/2022,7.02,7.5,7.5,7.02,13098100.0
VIX,03/11/2022,7.54,7.3,7.64,7.3,8329900.0
VIX,02/11/2022,7.54,7.68,7.75,7.48,8592900.0
VIX,01/11/2022,7.68,7.65,7.86,7.54,12930300.0
VIX,31/10/2022,7.5,7.21,7.6,6.91,10665400.0
VIX,28/10/2022,7.21,7.05,7.21,7.0,16794300.0
VIX,27/10/2022,6.74,6.45,6.74,6.4,9401800.0
VIX,26/10/2022,6.3,6.75,6.89,6.3,4443100.0
VIX,25/10/2022,6.6,6.37,7.2,6.27,10953000.0
VIX,24/10/2022,6.74,7.23,7.24,6.74,10960200.0
VIX,21/10/2022,7.24,7.8,7.84,7.24,11962600.0
VIX,20/10/2022,7.78,8.0,8.07,7.7,7646200.0
VIX,19/10/2022,8.09,8.35,8.39,8.04,7808800.0
