ticker,time,close,open,high,low,volume
VND,13/12/2022,15.45,14.4,15.45,13.9,45064400.0
VND,12/12/2022,14.45,15.5,15.85,14.45,54105100.0
VND,09/12/2022,15.5,15.65,15.8,15.25,33839700.0
VND,08/12/2022,15.3,14.8,15.3,14.7,33878400.0
VND,07/12/2022,14.3,14.5,14.8,13.85,38886000.0
VND,06/12/2022,14.3,14.7,15.45,14.05,63588900.0
VND,05/12/2022,14.85,14.8,14.85,14.4,43411600.0
VND,02/12/2022,13.9,13.0,13.9,12.8,35881900.0
VND,01/12/2022,13.0,14.05,14.2,12.9,46760300.0
VND,30/11/2022,13.6,13.0,13.6,12.55,36162100.0
VND,29/11/2022,12.8,12.4,12.8,12.05,47922700.0
VND,28/11/2022,12.0,11.7,12.0,11.6,34144600.0
VND,25/11/2022,11.25,10.85,11.25,10.7,23104500.0
VND,24/11/2022,10.55,10.4,10.8,10.1,14875700.0
VND,23/11/2022,10.6,11.2,11.45,10.6,13541100.0
VND,22/11/2022,11.3,11.05,12.0,10.95,35659800.0
VND,21/11/2022,11.3,11.1,11.5,10.95,17453900.0
VND,18/11/2022,11.1,11.0,11.5,10.35,30237700.0
VND,17/11/2022,11.1,10.8,11.25,10.7,18656400.0
VND,16/11/2022,10.55,9.32,10.55,9.23,22957500.0
VND,15/11/2022,9.9,10.05,10.4,9.63,20775900.0
VND,14/11/2022,10.35,9.12,10.35,9.12,24429700.0
VND,11/11/2022,9.8,10.0,10.2,9.67,20037800.0
VND,10/11/2022,9.72,10.15,10.3,9.72,17433600.0
VND,09/11/2022,10.45,10.75,11.0,10.4,8485700.0
VND,08/11/2022,10.65,9.79,10.65,9.79,16698900.0
VND,07/11/2022,10.45,11.2,11.3,10.45,27986600.0
VND,04/11/2022,11.2,11.75,11.8,11.15,22894900.0
VND,03/11/2022,11.95,11.7,12.1,11.65,17829600.0
VND,02/11/2022,12.1,11.8,12.35,11.55,22057400.0
VND,01/11/2022,11.8,11.7,11.85,11.25,18763400.0
VND,31/10/2022,11.5,11.9,11.9,10.9,25078200.0
VND,28/10/2022,11.7,11.7,12.1,11.55,24818000.0
VND,27/10/2022,11.35,10.5,11.35,10.5,37105200.0
VND,26/10/2022,10.65,11.6,12.0,10.65,28090600.0
VND,25/10/2022,11.45,11.45,12.7,11.45,65493700.0
VND,24/10/2022,12.3,12.85,13.0,12.3,11765700.0
VND,21/10/2022,13.2,14.05,14.2,13.2,25276000.0
VND,20/10/2022,14.15,14.5,14.6,14.05,11010800.0
VND,19/10/2022,14.55,14.6,14.9,14.4,12985000.0
