ticker,time,close,open,high,low,volume
VNM,13/12/2022,78.0,78.6,79.4,77.2,3610400.0
VNM,12/12/2022,78.5,80.3,81.9,78.4,3142700.0
VNM,09/12/2022,80.0,81.0,81.8,80.0,2408500.0
VNM,08/12/2022,81.0,83.0,84.0,81.0,1597100.0
VNM,07/12/2022,82.5,83.0,84.3,81.8,1839600.0
VNM,06/12/2022,82.5,85.0,85.1,82.5,1395300.0
VNM,05/12/2022,85.0,84.1,85.6,84.1,2066000.0
VNM,02/12/2022,84.0,82.3,84.0,82.0,2521800.0
VNM,01/12/2022,82.4,81.6,82.9,81.6,2216800.0
VNM,30/11/2022,82.8,83.0,83.0,81.5,1995600.0
VNM,29/11/2022,83.0,81.3,83.3,80.5,2404200.0
VNM,28/11/2022,81.7,82.0,83.4,81.7,2299200.0
VNM,25/11/2022,82.2,81.3,82.7,81.0,2596100.0
VNM,24/11/2022,81.2,79.0,81.2,78.9,2881100.0
VNM,23/11/2022,79.4,79.5,79.7,78.3,773100.0
VNM,22/11/2022,79.5,77.5,80.2,77.4,2281200.0
VNM,21/11/2022,77.9,77.0,77.9,76.9,1787400.0
VNM,18/11/2022,77.0,77.0,77.8,75.7,2229300.0
VNM,17/11/2022,76.0,76.8,78.3,75.1,2599500.0
VNM,16/11/2022,74.5,75.5,78.8,73.8,3542600.0
VNM,15/11/2022,77.0,79.0,79.4,76.5,2089600.0
VNM,14/11/2022,79.0,78.0,82.0,76.1,2596800.0
VNM,11/11/2022,78.4,78.9,80.4,78.4,1564400.0
VNM,10/11/2022,78.4,80.9,81.0,77.0,2637600.0
VNM,09/11/2022,80.9,82.0,82.2,80.0,2701100.0
VNM,08/11/2022,82.4,82.2,82.4,79.6,2301400.0
VNM,07/11/2022,82.2,80.1,82.2,80.0,2638300.0
VNM,04/11/2022,80.0,79.9,81.0,78.0,2909200.0
VNM,03/11/2022,80.0,78.0,80.7,78.0,1278300.0
VNM,02/11/2022,78.3,80.2,80.3,78.3,1830500.0
VNM,01/11/2022,80.2,78.5,82.5,78.5,3180100.0
VNM,31/10/2022,78.5,77.7,78.5,77.3,1572200.0
VNM,28/10/2022,78.0,78.5,78.6,77.7,1438800.0
VNM,27/10/2022,78.5,76.0,78.5,76.0,2283600.0
VNM,26/10/2022,76.0,76.0,76.4,75.6,824700.0
VNM,25/10/2022,76.0,74.1,76.8,74.1,1657600.0
VNM,24/10/2022,74.0,77.2,77.2,74.0,1578600.0
VNM,21/10/2022,77.0,77.5,78.4,76.5,2097600.0
VNM,20/10/2022,77.5,76.6,77.5,75.8,2290400.0
VNM,19/10/2022,76.6,76.1,76.8,76.1,1038000.0
