ticker,time,close,open,high,low,volume
VNS,13/12/2022,17.45,17.45,17.95,17.45,25500.0
VNS,12/12/2022,17.45,18.0,18.0,17.45,1100.0
VNS,09/12/2022,17.0,16.9,17.0,16.7,31200.0
VNS,08/12/2022,16.8,16.85,16.95,16.4,17100.0
VNS,07/12/2022,16.85,17.35,17.35,15.9,2900.0
VNS,06/12/2022,16.95,16.8,16.95,15.95,3400.0
VNS,05/12/2022,16.9,16.5,16.9,16.45,35100.0
VNS,02/12/2022,16.55,17.0,17.45,16.35,43800.0
VNS,01/12/2022,17.45,17.55,17.55,16.3,12400.0
VNS,30/11/2022,17.4,17.95,17.95,16.2,11700.0
VNS,29/11/2022,17.0,17.0,17.0,17.0,100.0
VNS,28/11/2022,16.05,15.1,16.05,15.1,8800.0
VNS,25/11/2022,15.05,15.0,15.95,14.95,1700.0
VNS,24/11/2022,15.95,15.4,16.4,15.35,3600.0
VNS,23/11/2022,16.5,15.2,16.5,15.2,700.0
VNS,22/11/2022,16.0,14.9,16.8,14.9,44800.0
VNS,21/11/2022,16.0,16.4,16.4,14.8,500.0
VNS,18/11/2022,15.8,14.35,16.0,14.35,1200.0
VNS,17/11/2022,15.4,15.5,15.5,15.4,400.0
VNS,16/11/2022,14.75,14.75,14.75,14.75,100.0
VNS,15/11/2022,13.9,13.25,13.9,13.05,6100.0
VNS,14/11/2022,14.0,13.5,14.4,13.5,58600.0
VNS,11/11/2022,14.5,15.0,15.6,14.5,8900.0
VNS,10/11/2022,15.5,15.1,15.6,14.95,68000.0
VNS,09/11/2022,16.05,16.6,16.6,15.1,26000.0
VNS,08/11/2022,16.05,16.6,16.65,16.05,3300.0
VNS,07/11/2022,16.75,15.8,16.8,15.8,11100.0
VNS,04/11/2022,16.7,16.8,16.85,16.1,13600.0
VNS,03/11/2022,16.9,17.3,17.3,16.9,5900.0
VNS,02/11/2022,17.3,15.85,17.9,15.85,6700.0
VNS,01/11/2022,16.9,17.45,17.45,16.9,7000.0
VNS,31/10/2022,16.9,17.05,17.05,16.9,7200.0
VNS,28/10/2022,17.05,18.0,18.45,16.85,15200.0
VNS,27/10/2022,18.0,18.05,18.05,17.05,4000.0
VNS,26/10/2022,18.05,17.6,18.2,16.95,23200.0
VNS,25/10/2022,18.2,17.75,19.0,17.75,52800.0
VNS,24/10/2022,19.05,20.4,20.4,19.05,15800.0
VNS,21/10/2022,20.45,21.95,21.95,20.45,33800.0
VNS,20/10/2022,21.95,21.5,22.3,21.5,65100.0
VNS,19/10/2022,21.0,20.5,21.0,20.15,37300.0
