ticker,time,close,open,high,low,volume
VOS,13/12/2022,12.2,12.4,12.4,11.75,1024300.0
VOS,12/12/2022,11.85,11.1,12.05,11.1,2025000.0
VOS,09/12/2022,11.3,11.5,11.5,10.95,814400.0
VOS,08/12/2022,11.5,11.8,12.1,10.95,1317200.0
VOS,07/12/2022,11.5,11.35,12.15,10.85,2286800.0
VOS,06/12/2022,11.65,11.5,12.3,11.3,2331500.0
VOS,05/12/2022,11.5,11.5,11.5,11.1,1483200.0
VOS,02/12/2022,10.75,10.5,10.75,9.9,1807800.0
VOS,01/12/2022,10.05,10.05,10.05,9.6,1551200.0
VOS,30/11/2022,9.41,9.41,9.41,9.41,237600.0
VOS,29/11/2022,8.8,8.8,8.8,8.72,1240400.0
VOS,28/11/2022,8.23,8.23,8.23,8.23,226200.0
VOS,25/11/2022,7.7,7.43,7.7,7.19,878200.0
VOS,24/11/2022,7.2,7.0,7.33,6.96,373500.0
VOS,23/11/2022,7.33,7.3,7.7,7.3,518300.0
VOS,22/11/2022,7.6,7.5,7.97,7.46,957100.0
VOS,21/11/2022,7.49,7.1,7.49,7.1,569500.0
VOS,18/11/2022,7.0,7.0,7.0,6.58,715500.0
VOS,17/11/2022,7.0,6.85,7.01,6.75,592900.0
VOS,16/11/2022,6.61,5.75,6.61,5.75,1258900.0
VOS,15/11/2022,6.18,6.18,6.18,6.18,187800.0
VOS,14/11/2022,6.64,6.71,7.0,6.64,276000.0
VOS,11/11/2022,7.13,7.66,7.9,7.13,1131000.0
VOS,10/11/2022,7.66,8.02,8.02,7.66,445100.0
VOS,09/11/2022,8.23,8.29,8.49,8.12,397300.0
VOS,08/11/2022,8.23,8.27,8.52,8.23,683900.0
VOS,07/11/2022,8.84,9.51,9.67,8.84,506900.0
VOS,04/11/2022,9.5,10.1,10.1,9.41,421800.0
VOS,03/11/2022,10.05,10.3,10.3,9.99,455900.0
VOS,02/11/2022,10.35,10.45,10.5,10.15,400500.0
VOS,01/11/2022,10.3,10.5,10.5,10.3,367600.0
VOS,31/10/2022,10.4,10.35,10.5,10.0,518300.0
VOS,28/10/2022,10.35,10.8,10.8,10.3,417900.0
VOS,27/10/2022,10.5,9.96,10.5,9.96,492300.0
VOS,26/10/2022,10.05,10.9,10.9,9.99,355800.0
VOS,25/10/2022,10.5,10.5,11.2,10.1,1006500.0
VOS,24/10/2022,10.85,11.95,11.95,10.85,638100.0
VOS,21/10/2022,11.65,12.55,12.55,11.65,1084500.0
VOS,20/10/2022,12.5,12.25,12.65,12.2,764600.0
VOS,19/10/2022,12.4,12.0,12.45,11.95,826800.0
