ticker,time,close,open,high,low,volume
VPB,13/12/2022,17.1,16.7,17.1,16.4,18048300.0
VPB,12/12/2022,16.65,16.95,17.45,16.65,23202300.0
VPB,09/12/2022,16.9,17.15,17.2,16.65,13749900.0
VPB,08/12/2022,17.0,16.45,17.3,16.4,29415300.0
VPB,07/12/2022,16.2,16.8,17.0,15.85,26221800.0
VPB,06/12/2022,16.9,18.15,18.6,16.9,34482600.0
VPB,05/12/2022,18.15,17.7,18.4,17.45,43389200.0
VPB,02/12/2022,17.3,16.8,17.4,16.55,25887700.0
VPB,01/12/2022,16.8,17.05,17.4,16.6,31045800.0
VPB,30/11/2022,16.8,16.25,17.0,15.9,23312200.0
VPB,29/11/2022,16.15,16.2,16.35,15.55,16820500.0
VPB,28/11/2022,16.1,15.6,16.2,15.6,16558000.0
VPB,25/11/2022,15.5,15.3,15.5,15.15,9694700.0
VPB,24/11/2022,15.1,14.85,15.25,14.55,10247900.0
VPB,23/11/2022,15.05,15.25,15.6,15.05,6000000.0
VPB,22/11/2022,15.5,15.25,16.45,15.1,16566500.0
VPB,21/11/2022,15.5,15.7,15.7,15.1,11391400.0
VPB,18/11/2022,15.5,15.0,15.75,14.7,16315900.0
VPB,17/11/2022,15.5,15.75,15.85,15.35,13169500.0
VPB,16/11/2022,15.5,13.65,15.65,13.65,29662500.0
VPB,15/11/2022,14.65,15.15,15.7,14.65,18164400.0
VPB,14/11/2022,15.7,16.0,16.15,15.2,16001400.0
VPB,11/11/2022,16.3,16.65,17.0,16.25,17937800.0
VPB,10/11/2022,16.3,17.4,17.4,16.3,23021600.0
VPB,09/11/2022,17.5,17.35,17.65,17.05,16395500.0
VPB,08/11/2022,17.2,16.8,17.25,16.65,22335400.0
VPB,07/11/2022,17.1,17.1,17.35,16.85,23171500.0
VPB,04/11/2022,16.95,17.15,17.4,16.55,32346400.0
VPB,03/11/2022,17.5,17.15,17.65,17.15,11402300.0
VPB,02/11/2022,17.5,17.2,17.8,16.9,21507900.0
VPB,01/11/2022,17.2,16.5,17.45,16.5,25628600.0
VPB,31/10/2022,16.35,16.5,16.6,15.65,11070200.0
VPB,28/10/2022,16.35,16.6,16.9,16.35,8111200.0
VPB,27/10/2022,16.55,15.5,16.55,15.05,20959900.0
VPB,26/10/2022,15.55,15.5,15.75,15.2,7060400.0
VPB,25/10/2022,15.45,15.25,16.05,14.9,15262300.0
VPB,24/10/2022,15.4,15.6,15.65,14.8,10493200.0
VPB,21/10/2022,15.55,16.0,16.0,15.1,13706600.0
VPB,20/10/2022,15.95,15.85,16.15,15.7,8684100.0
VPB,19/10/2022,15.95,16.1,16.1,15.7,9833500.0
