ticker,time,close,open,high,low,volume
VPD,13/12/2022,27.0,26.8,27.0,25.4,158600.0
VPD,12/12/2022,26.8,26.5,26.8,25.3,129600.0
VPD,09/12/2022,26.6,26.35,26.7,25.2,100700.0
VPD,08/12/2022,26.4,25.7,26.4,25.15,222200.0
VPD,07/12/2022,26.0,25.5,26.0,25.2,169700.0
VPD,06/12/2022,25.5,24.0,25.5,24.0,130000.0
VPD,05/12/2022,24.15,23.5,24.3,23.5,66800.0
VPD,02/12/2022,23.5,23.5,23.9,23.0,33200.0
VPD,01/12/2022,23.5,23.4,23.6,23.2,28000.0
VPD,30/11/2022,23.4,23.0,23.4,22.7,34300.0
VPD,29/11/2022,23.0,22.2,23.2,22.2,16600.0
VPD,28/11/2022,23.1,22.0,23.1,22.0,26700.0
VPD,25/11/2022,23.0,22.9,23.0,22.9,32400.0
VPD,24/11/2022,22.95,21.6,23.2,21.5,5600.0
VPD,23/11/2022,22.8,21.3,22.8,21.0,32000.0
VPD,22/11/2022,22.05,22.9,22.9,21.9,26900.0
VPD,21/11/2022,21.8,21.8,21.9,21.5,19500.0
VPD,18/11/2022,21.8,21.6,21.8,21.5,33300.0
VPD,17/11/2022,21.8,19.3,21.8,19.2,17000.0
VPD,16/11/2022,20.55,20.5,22.0,20.5,774600.0
VPD,15/11/2022,22.0,21.5,22.0,21.3,16900.0
VPD,14/11/2022,22.9,22.9,22.9,21.9,3300.0
VPD,11/11/2022,22.9,22.4,22.9,22.4,4200.0
VPD,10/11/2022,23.2,22.2,23.2,22.15,6600.0
VPD,09/11/2022,23.8,24.0,24.0,22.5,3200.0
VPD,08/11/2022,22.95,20.3,23.2,20.25,51800.0
VPD,07/11/2022,21.7,23.3,23.3,21.7,73700.0
VPD,04/11/2022,23.3,24.2,24.2,23.3,49400.0
VPD,03/11/2022,24.5,24.5,24.5,24.45,8600.0
VPD,02/11/2022,24.65,25.75,25.75,24.5,38600.0
VPD,01/11/2022,25.75,25.5,25.75,24.2,26700.0
VPD,31/10/2022,25.1,25.8,26.0,24.55,62600.0
VPD,28/10/2022,25.5,24.9,26.0,24.6,424400.0
VPD,27/10/2022,24.85,23.3,24.9,23.3,413000.0
VPD,26/10/2022,23.95,23.4,23.95,23.3,21300.0
VPD,25/10/2022,23.75,23.7,24.0,23.7,38900.0
VPD,24/10/2022,24.0,24.75,24.75,23.95,7300.0
VPD,21/10/2022,24.75,24.0,24.9,23.5,44900.0
VPD,20/10/2022,24.4,24.5,24.5,24.4,26800.0
VPD,19/10/2022,24.4,24.9,25.0,24.35,14800.0
