ticker,time,close,open,high,low,volume
VPH,13/12/2022,4.82,4.82,4.82,4.53,166600.0
VPH,12/12/2022,4.82,5.2,5.2,4.8,199200.0
VPH,09/12/2022,4.98,4.98,4.98,4.71,155500.0
VPH,08/12/2022,4.95,4.63,5.0,4.63,128800.0
VPH,07/12/2022,4.79,4.82,5.0,4.79,221400.0
VPH,06/12/2022,5.14,5.3,5.5,5.14,290100.0
VPH,05/12/2022,5.52,5.6,5.6,5.3,289600.0
VPH,02/12/2022,5.42,5.4,5.56,5.16,206800.0
VPH,01/12/2022,5.45,5.3,5.45,5.09,379700.0
VPH,30/11/2022,5.1,5.2,5.2,4.89,241600.0
VPH,29/11/2022,4.95,4.98,5.0,4.7,456900.0
VPH,28/11/2022,4.68,4.54,4.68,4.54,475400.0
VPH,25/11/2022,4.38,4.3,4.38,4.2,127000.0
VPH,24/11/2022,4.2,4.09,4.21,3.91,159200.0
VPH,23/11/2022,4.11,4.39,4.39,4.11,39700.0
VPH,22/11/2022,4.39,4.12,4.49,4.1,541100.0
VPH,21/11/2022,4.2,4.1,4.2,4.04,149800.0
VPH,18/11/2022,4.06,3.97,4.18,3.8,217000.0
VPH,17/11/2022,3.94,3.8,4.03,3.8,210800.0
VPH,16/11/2022,3.77,3.29,3.77,3.29,363300.0
VPH,15/11/2022,3.53,3.6,3.6,3.45,275700.0
VPH,14/11/2022,3.7,3.86,3.86,3.57,217800.0
VPH,11/11/2022,3.83,4.1,4.25,3.83,115400.0
VPH,10/11/2022,4.1,4.4,4.4,4.1,138800.0
VPH,09/11/2022,4.4,4.4,4.7,4.4,53800.0
VPH,08/11/2022,4.46,4.5,4.5,4.2,96200.0
VPH,07/11/2022,4.5,4.5,4.5,4.1,295700.0
VPH,04/11/2022,4.4,4.65,4.65,4.35,253300.0
VPH,03/11/2022,4.67,4.6,4.69,4.51,87800.0
VPH,02/11/2022,4.68,4.7,4.79,4.61,92400.0
VPH,01/11/2022,4.7,4.7,4.7,4.5,135500.0
VPH,31/10/2022,4.5,4.76,4.87,4.5,135100.0
VPH,28/10/2022,4.76,4.75,5.08,4.75,216400.0
VPH,27/10/2022,4.75,4.6,4.8,4.6,191100.0
VPH,26/10/2022,4.6,4.6,4.79,4.3,221600.0
VPH,25/10/2022,4.6,4.61,4.98,4.6,180700.0
VPH,24/10/2022,4.94,5.33,5.33,4.94,209500.0
VPH,21/10/2022,5.31,5.7,5.83,5.31,110200.0
VPH,20/10/2022,5.7,5.6,6.0,5.6,96200.0
VPH,19/10/2022,5.95,5.97,6.08,5.87,80300.0
