ticker,time,close,open,high,low,volume
VPS,13/12/2022,9.19,9.3,9.3,8.41,2400.0
VPS,12/12/2022,8.99,9.38,9.38,8.75,4400.0
VPS,09/12/2022,9.28,9.28,9.28,9.28,300.0
VPS,08/12/2022,9.32,9.4,9.4,8.56,6400.0
VPS,07/12/2022,9.2,9.37,9.37,9.1,500.0
VPS,06/12/2022,9.39,9.1,9.5,9.0,7500.0
VPS,05/12/2022,9.42,9.39,9.42,9.0,3700.0
VPS,02/12/2022,8.82,9.58,9.58,8.82,11500.0
VPS,01/12/2022,9.45,9.59,9.59,8.96,4900.0
VPS,30/11/2022,9.6,9.74,9.74,8.71,2100.0
VPS,29/11/2022,9.18,9.12,9.45,9.12,2100.0
VPS,28/11/2022,9.09,9.62,9.62,9.02,8300.0
VPS,25/11/2022,9.5,9.57,9.57,8.92,1100.0
VPS,24/11/2022,9.58,9.58,9.58,9.58,100.0
VPS,23/11/2022,9.04,9.6,9.6,9.04,800.0
VPS,22/11/2022,9.68,9.7,9.7,9.5,1000.0
VPS,21/11/2022,9.45,9.48,9.48,9.4,800.0
VPS,18/11/2022,9.39,9.4,9.4,8.79,1400.0
VPS,17/11/2022,9.45,9.6,9.6,9.45,400.0
VPS,16/11/2022,9.18,9.2,9.2,9.18,500.0
VPS,15/11/2022,8.65,8.89,8.89,8.65,300.0
VPS,14/11/2022,9.3,9.4,9.4,9.17,1300.0
VPS,11/11/2022,9.17,9.2,9.2,8.47,2000.0
VPS,10/11/2022,9.1,9.75,9.8,9.1,600.0
VPS,09/11/2022,9.75,9.6,9.75,9.6,3500.0
VPS,08/11/2022,9.6,9.57,9.6,9.49,1000.0
VPS,07/11/2022,9.58,9.6,9.6,9.58,1900.0
VPS,04/11/2022,10.3,10.3,10.3,10.3,0.0
VPS,03/11/2022,10.3,9.71,10.3,9.7,700.0
VPS,02/11/2022,9.71,10.6,10.7,9.71,1600.0
VPS,01/11/2022,10.4,10.7,11.0,10.3,2500.0
VPS,31/10/2022,10.7,10.65,10.7,10.65,1000.0
VPS,28/10/2022,10.8,10.75,10.8,10.7,3200.0
VPS,27/10/2022,10.75,10.6,10.75,10.6,1300.0
VPS,26/10/2022,10.6,10.6,10.6,10.6,900.0
VPS,25/10/2022,10.8,10.8,10.9,10.8,3400.0
VPS,24/10/2022,11.35,11.35,11.35,11.35,100.0
VPS,21/10/2022,11.4,10.7,11.4,10.7,1300.0
VPS,20/10/2022,11.4,12.0,12.0,10.8,1900.0
VPS,19/10/2022,11.55,11.3,11.55,10.8,2000.0
