ticker,time,close,open,high,low,volume
VRC,13/12/2022,6.72,7.1,7.1,6.24,100600.0
VRC,12/12/2022,6.7,7.37,7.37,6.7,11100.0
VRC,09/12/2022,6.89,6.53,7.0,6.53,23800.0
VRC,08/12/2022,6.97,6.5,7.16,6.5,17100.0
VRC,07/12/2022,6.72,7.0,7.29,6.7,34200.0
VRC,06/12/2022,7.2,8.0,8.0,7.2,30300.0
VRC,05/12/2022,7.54,7.5,7.55,7.4,69800.0
VRC,02/12/2022,7.49,7.6,7.6,7.0,22300.0
VRC,01/12/2022,7.5,7.49,7.6,7.35,30800.0
VRC,30/11/2022,7.11,7.39,7.45,6.96,41600.0
VRC,29/11/2022,7.39,7.45,7.46,6.86,23800.0
VRC,28/11/2022,7.17,7.1,7.46,7.1,15600.0
VRC,25/11/2022,7.1,7.03,7.1,7.0,10600.0
VRC,24/11/2022,6.97,6.65,7.06,6.65,8700.0
VRC,23/11/2022,7.1,7.0,7.59,6.9,10800.0
VRC,22/11/2022,7.2,6.73,7.2,6.73,19000.0
VRC,21/11/2022,6.73,5.96,6.73,5.9,38000.0
VRC,18/11/2022,6.29,6.62,6.62,6.0,8000.0
VRC,17/11/2022,6.3,6.35,6.36,6.0,14200.0
VRC,16/11/2022,5.97,5.2,5.98,5.2,21600.0
VRC,15/11/2022,5.59,5.59,5.85,5.59,6400.0
VRC,14/11/2022,6.01,5.89,6.25,5.82,20600.0
VRC,11/11/2022,6.25,6.01,6.4,6.0,22000.0
VRC,10/11/2022,6.26,6.75,6.75,6.26,20200.0
VRC,09/11/2022,6.73,6.6,7.0,6.6,10000.0
VRC,08/11/2022,6.9,6.9,6.9,6.5,4500.0
VRC,07/11/2022,6.95,7.5,7.56,6.92,10000.0
VRC,04/11/2022,7.44,7.32,7.48,7.21,17400.0
VRC,03/11/2022,7.49,7.55,7.56,7.49,6600.0
VRC,02/11/2022,7.88,7.61,7.95,7.6,700.0
VRC,01/11/2022,7.7,7.85,7.87,7.5,1400.0
VRC,31/10/2022,7.5,8.1,8.1,7.5,5100.0
VRC,28/10/2022,8.03,8.11,8.18,8.03,9600.0
VRC,27/10/2022,8.1,7.55,8.1,7.53,19900.0
VRC,26/10/2022,8.08,7.5,8.08,7.5,6800.0
VRC,25/10/2022,7.89,7.49,7.89,7.07,15000.0
VRC,24/10/2022,7.6,8.03,8.03,7.57,54100.0
VRC,21/10/2022,8.13,7.9,8.15,7.7,17900.0
VRC,20/10/2022,8.17,8.0,8.17,8.0,500.0
VRC,19/10/2022,8.18,8.2,8.2,8.05,2300.0
