ticker,time,close,open,high,low,volume
VSH,13/12/2022,31.5,31.5,31.8,31.2,78700.0
VSH,12/12/2022,31.5,31.9,33.1,31.5,71200.0
VSH,09/12/2022,32.0,32.4,32.4,31.1,28000.0
VSH,08/12/2022,32.0,31.0,32.2,31.0,267500.0
VSH,07/12/2022,31.0,30.5,31.6,30.5,107400.0
VSH,06/12/2022,31.3,32.0,32.2,31.1,80900.0
VSH,05/12/2022,32.0,31.55,32.2,31.55,145900.0
VSH,02/12/2022,31.3,30.5,31.65,30.1,39700.0
VSH,01/12/2022,31.3,31.0,32.8,31.0,107900.0
VSH,30/11/2022,31.5,31.7,31.9,30.8,58700.0
VSH,29/11/2022,31.7,32.9,32.9,30.1,102700.0
VSH,28/11/2022,31.0,29.1,31.2,29.1,87800.0
VSH,25/11/2022,29.7,29.0,30.0,28.6,41200.0
VSH,24/11/2022,28.55,28.5,28.8,28.15,51700.0
VSH,23/11/2022,28.15,28.9,29.0,28.1,21400.0
VSH,22/11/2022,29.2,28.9,29.5,28.85,79500.0
VSH,21/11/2022,28.85,27.75,28.85,27.75,54700.0
VSH,18/11/2022,27.75,28.4,28.4,27.4,200600.0
VSH,17/11/2022,27.4,26.9,27.4,26.6,94200.0
VSH,16/11/2022,25.65,23.0,25.65,22.9,170300.0
VSH,15/11/2022,24.0,25.95,25.95,24.0,565300.0
VSH,14/11/2022,25.8,26.05,27.4,25.6,207500.0
VSH,11/11/2022,27.5,29.25,29.25,27.5,129900.0
VSH,10/11/2022,27.9,29.7,29.7,27.9,527800.0
VSH,09/11/2022,30.0,28.4,30.05,28.4,209200.0
VSH,08/11/2022,28.6,27.8,29.5,27.8,167500.0
VSH,07/11/2022,29.7,31.95,31.95,29.7,392000.0
VSH,04/11/2022,31.9,32.9,33.2,31.2,219200.0
VSH,03/11/2022,33.4,33.75,34.2,33.3,119600.0
VSH,02/11/2022,34.1,34.75,34.75,33.8,157000.0
VSH,01/11/2022,34.2,35.0,35.3,34.2,147800.0
VSH,31/10/2022,34.3,35.9,35.9,33.8,169900.0
VSH,28/10/2022,35.1,35.25,36.0,35.0,127300.0
VSH,27/10/2022,35.2,34.4,35.3,34.4,114600.0
VSH,26/10/2022,34.3,35.8,35.8,34.3,69100.0
VSH,25/10/2022,35.25,34.0,35.6,34.0,180500.0
VSH,24/10/2022,34.4,35.0,35.6,33.9,180900.0
VSH,21/10/2022,34.8,35.6,36.15,33.65,244000.0
VSH,20/10/2022,36.15,35.6,36.3,35.6,124400.0
VSH,19/10/2022,35.6,35.85,36.3,35.1,104600.0
