ticker,time,close,open,high,low,volume
VTO,13/12/2022,7.5,7.51,7.66,7.4,84400.0
VTO,12/12/2022,7.51,7.5,7.82,7.23,228300.0
VTO,09/12/2022,7.43,7.51,7.51,7.4,61600.0
VTO,08/12/2022,7.51,7.5,7.54,7.45,139900.0
VTO,07/12/2022,7.4,7.5,7.58,7.4,86700.0
VTO,06/12/2022,7.5,7.7,7.83,7.5,289100.0
VTO,05/12/2022,7.7,7.73,7.8,7.55,325000.0
VTO,02/12/2022,7.55,7.5,7.61,7.4,152700.0
VTO,01/12/2022,7.5,7.5,7.76,7.4,279800.0
VTO,30/11/2022,7.46,7.45,7.5,7.4,98700.0
VTO,29/11/2022,7.45,7.45,7.63,7.36,164900.0
VTO,28/11/2022,7.45,7.3,7.45,7.3,236200.0
VTO,25/11/2022,7.1,7.09,7.3,7.04,151700.0
VTO,24/11/2022,6.94,7.0,7.0,6.83,78100.0
VTO,23/11/2022,6.98,7.0,7.07,6.96,122100.0
VTO,22/11/2022,7.0,6.69,7.15,6.66,206300.0
VTO,21/11/2022,6.69,6.45,6.69,6.4,241000.0
VTO,18/11/2022,6.41,6.45,6.47,6.2,227000.0
VTO,17/11/2022,6.41,6.3,6.51,6.28,62300.0
VTO,16/11/2022,6.27,5.75,6.27,5.5,326400.0
VTO,15/11/2022,5.86,6.12,6.12,5.86,349100.0
VTO,14/11/2022,6.3,6.52,6.52,6.06,312200.0
VTO,11/11/2022,6.5,6.66,6.68,6.41,113000.0
VTO,10/11/2022,6.52,6.98,6.98,6.52,158400.0
VTO,09/11/2022,6.87,6.99,7.07,6.86,131300.0
VTO,08/11/2022,6.93,6.8,7.0,6.8,48600.0
VTO,07/11/2022,6.9,7.2,7.2,6.9,637200.0
VTO,04/11/2022,7.2,7.3,7.45,7.2,220800.0
VTO,03/11/2022,7.3,7.3,7.35,7.29,66600.0
VTO,02/11/2022,7.31,7.4,7.4,7.31,156300.0
VTO,01/11/2022,7.33,7.21,7.45,7.21,94900.0
VTO,31/10/2022,7.2,7.43,7.43,7.2,132600.0
VTO,28/10/2022,7.21,7.09,7.28,7.09,176400.0
VTO,27/10/2022,7.17,7.09,7.17,7.02,89200.0
VTO,26/10/2022,6.95,6.91,7.06,6.88,319300.0
VTO,25/10/2022,6.97,7.01,7.2,6.86,216700.0
VTO,24/10/2022,7.01,7.29,7.3,6.88,494100.0
VTO,21/10/2022,7.3,7.4,7.5,7.27,204100.0
VTO,20/10/2022,7.37,7.41,7.44,7.37,75800.0
VTO,19/10/2022,7.46,7.42,7.46,7.39,65600.0
