ticker,time,close,open,high,low,volume
VMD,14/12/2022,1280,909,196,954,118831183
VMD,15/12/2022,1025,735,876,103,441990298
VMD,16/12/2022,79,201,927,376,251954362
VMD,17/12/2022,1120,459,1391,1012,208858596
VMD,18/12/2022,997,81,119,678,149152747
VMD,19/12/2022,832,1084,463,1029,278071018
VMD,20/12/2022,1417,179,110,467,483495557
VMD,21/12/2022,255,294,888,142,29038096
VMD,22/12/2022,310,540,74,1427,455189386
VMD,23/12/2022,1109,1244,811,766,492468048
VMD,24/12/2022,1052,77,1022,1367,129570723
VMD,25/12/2022,1378,945,1380,312,475567101
VMD,26/12/2022,274,219,521,718,366307782
VMD,27/12/2022,850,549,1206,587,488068868
VMD,28/12/2022,1162,1358,252,820,169250277
VMD,29/12/2022,311,407,873,290,492955989
VMD,30/12/2022,1205,1372,1317,1411,49143326
VMD,31/12/2022,625,248,592,343,155762746
VMD,01/01/2023,1053,145,1400,1238,429139927
VMD,02/01/2023,1027,1258,1263,283,396813648
VMD,03/01/2023,104,1103,375,676,305244543
VMD,04/01/2023,393,1411,257,292,187442486
VMD,05/01/2023,726,1214,218,1402,322838576
VMD,06/01/2023,350,387,232,1036,8829172
VMD,07/01/2023,912,311,125,1024,14621506
VMD,08/01/2023,1424,1112,698,380,431831232
VMD,09/01/2023,124,518,250,1432,426807972
VMD,10/01/2023,72,635,1113,915,117765835
VMD,11/01/2023,374,539,1144,963,139072712
VMD,12/01/2023,987,398,359,1140,441703820
VMD,13/01/2023,1278,855,653,768,466383686
VMD,14/01/2023,1065,679,990,1309,284041220
VMD,15/01/2023,544,743,92,341,389147994
VMD,16/01/2023,973,944,98,895,299439347
VMD,17/01/2023,905,435,428,1201,382462053
VMD,18/01/2023,1194,1232,810,223,32698719
VMD,19/01/2023,1410,683,725,947,493268194
VMD,20/01/2023,714,740,542,468,274522960
VMD,21/01/2023,952,850,1321,777,226468334
VMD,22/01/2023,932,1329,698,537,374898541
VMD,23/01/2023,293,1004,1131,1063,344663724
VMD,24/01/2023,510,1011,884,402,486841699
VMD,25/01/2023,660,304,1241,689,323139134
VMD,26/01/2023,1232,432,1285,107,28594143
VMD,27/01/2023,109,403,519,845,462748111
VMD,28/01/2023,642,252,1345,824,201581693
VMD,29/01/2023,272,938,637,636,35665434
VMD,30/01/2023,1272,1291,353,868,171052612
VSH,14/12/2022,236,879,109,568,205343536
VSH,15/12/2022,926,381,1233,183,450939079
VSH,16/12/2022,1246,157,944,835,284315674
VSH,17/12/2022,799,1337,1348,1060,303932935
VSH,18/12/2022,317,168,149,466,106182484
VSH,19/12/2022,496,950,882,619,232995103
VSH,20/12/2022,1166,66,795,722,271179519
VSH,21/12/2022,640,347,82,1388,375584575
VSH,22/12/2022,1157,826,728,181,52447806
VSH,23/12/2022,152,193,542,735,70777447
VSH,24/12/2022,1070,394,1276,416,403675835
VSH,25/12/2022,633,573,1360,373,338037159
VSH,26/12/2022,246,1286,1372,1421,138550558
VSH,27/12/2022,620,263,584,83,372257659
VSH,28/12/2022,371,613,250,230,62153805
VSH,29/12/2022,947,244,78,544,117539784
