ticker,TradingDate,Open,High,Low,Close,Volume
HSV,2023-02-06,3900.0,4000.0,3800.0,3900.0,11600
CST,2023-02-06,21000.0,21300.0,20200.0,20600.0,460600
BVL,2023-02-06,14600.0,14600.0,14600.0,14600.0,2800
SGI,2023-02-06,18400.0,19900.0,18400.0,19900.0,400
VTZ,2023-02-06,8100.0,8100.0,8100.0,8100.0,3100
SSH,2023-02-06,67100.0,67700.0,66600.0,67100.0,116100
BCA,2023-02-06,4800.0,4800.0,4700.0,4700.0,14200
FUEIP100,2023-02-06,7580.0,7650.0,7500.0,7650.0,35800
GMH,2023-02-06,10500.0,10500.0,10200.0,10500.0,1800
BIG,2023-02-06,7000.0,7900.0,6800.0,7400.0,225900
CMM,2023-02-06,9400.0,9400.0,9400.0,9400.0,1000
FUEKIV30,2023-02-06,7550.0,7550.0,6950.0,7100.0,55000
ODE,2023-02-06,42100.0,43300.0,42100.0,43300.0,57600
HMR,2023-02-06,6600.0,6700.0,6600.0,6700.0,3100
PCH,2023-02-06,5000.0,5000.0,5000.0,5000.0,13300
NO1,2023-02-06,8900.0,8950.0,8800.0,8950.0,31800
PPT,2023-02-06,19600.0,19600.0,19400.0,19600.0,10100
CAR,2023-02-06,27900.0,28700.0,27900.0,28700.0,2400
GPC,2023-02-06,8500.0,8500.0,8300.0,8500.0,41600
FUEDCMID,2023-02-06,8440.0,8500.0,8370.0,8500.0,23500
FUEKIVFS,2023-02-06,9030.0,9130.0,9030.0,9130.0,50100
GCF,2023-02-06,15800.0,16400.0,15800.0,15800.0,700
LPT,2023-02-06,9300.0,9900.0,9300.0,9900.0,1500
AAA,2023-02-06,8120.0,8250.0,8090.0,8250.0,3167000
AAM,2023-02-06,11450.0,11550.0,11200.0,11200.0,1800
AAT,2023-02-06,5440.0,5490.0,5310.0,5400.0,701900
AAV,2023-02-06,4700.0,5000.0,4700.0,5000.0,287500
ABB,2023-02-06,8400.0,8500.0,8300.0,8400.0,1043000
ABI,2023-02-06,34300.0,34300.0,33100.0,33500.0,33900
ABR,2023-02-06,11000.0,11400.0,11000.0,11400.0,1100
ABS,2023-02-06,6050.0,6060.0,5920.0,6060.0,404400
ABT,2023-02-06,34550.0,34550.0,34550.0,34550.0,0
ACB,2023-02-06,24400.0,25150.0,24150.0,24900.0,2378600
ACC,2023-02-06,13200.0,13200.0,12900.0,13150.0,37400
ACE,2023-02-06,40000.0,40000.0,40000.0,40000.0,100
ACL,2023-02-06,11550.0,11750.0,11450.0,11500.0,75500
ACM,2023-02-06,700.0,700.0,700.0,700.0,0
ACS,2023-02-06,14500.0,14500.0,14500.0,14500.0,0
ACV,2023-02-06,84500.0,84900.0,84500.0,84500.0,7600
ADC,2023-02-06,15600.0,15600.0,15600.0,15600.0,101
ADP,2023-02-06,17500.0,17500.0,17500.0,17500.0,0
AFX,2023-02-06,11200.0,11200.0,10600.0,10700.0,30900
AGF,2023-02-06,2400.0,2400.0,2400.0,2400.0,0
CKA,2023-02-06,30000.0,30000.0,30000.0,30000.0,0
AGP,2023-02-06,22500.0,22500.0,22000.0,22000.0,5200
AGM,2023-02-06,6420.0,6420.0,6050.0,6050.0,196900
CAG,2023-02-06,7800.0,8000.0,7800.0,8000.0,66100
LTG,2023-02-06,27800.0,28200.0,27600.0,28000.0,197500
AGR,2023-02-06,8100.0,8100.0,7970.0,8080.0,280400
AGG,2023-02-06,29600.0,29700.0,29450.0,29550.0,95200
AGX,2023-02-06,35000.0,35000.0,35000.0,35000.0,0
AG1,2023-02-06,4800.0,4800.0,4800.0,4800.0,0
AGE,2023-02-06,13000.0,13000.0,13000.0,13000.0,0
ALT,2023-02-06,14900.0,14900.0,14900.0,14900.0,0
ALV,2023-02-06,3900.0,3900.0,3400.0,3500.0,23200
AMC,2023-02-06,22500.0,22500.0,22500.0,22500.0,0
